"filename","source","MISC"
"ggm0001.ggm001.1st1K-grc1_oga020_src","Anonymous, Anamet. 1.1","t_1|0|ref=Anamet._1.1"
"ogl0001.ogl001.1st1K-grc1_oga020_src","Pinytus, Saint, Bishop of Knossos, Pin.Dion. 1","t_1|t_7|ref=Pin.Dion._1"
"pta0001.pta001.pta-grc1_oga020_src","Severian of Gabala, fid.leg.nat._1","t_1|t_2|ref=fid.leg.nat._1"
"pta0001.pta002.pta-grc1_oga020_src","Severian of Gabala, paen.compunc._1","t_1|t_12|ref=paen.compunc._1"
"pta0001.pta003.pta-grc1_oga020_src","Severian of Gabala, ascen.princ.Act._1","t_1|t_5|ref=ascen.princ.Act._1"
"pta0001.pta004.pta-grc1_oga020_src","Severian of Gabala, spir.sanct._1","t_1|t_14|ref=spir.sanct._1"
"pta0001.pta005.pta-grc1_oga020_src","Severian of Gabala, Christ.past._1","t_1|t_3|ref=Christ.past._1"
"pta0001.pta006.pta-grc1_oga020_src","Severian of Gabala, Ps.96_1","t_1|t_18|ref=Ps.96_1"
"pta0001.pta007.pta-grc1_oga020_src","Severian of Gabala, Ps.95_1","t_1|e_1|ref=Ps.95_1"
"pta0001.pta008.pta-grc1_oga020_src","Severian of Gabala, legislat.hom._1","t_1|t_3|ref=legislat.hom._1"
"pta0001.pta009.pta-grc1_oga020_src","Severian of Gabala, potest.haec.facis_1","t_1|e_1|ref=potest.haec.facis_1"
"pta0001.pta010.pta-grc1_oga020_src","Severian of Gabala, anim.Adam_1","t_1|e_1|ref=anim.Adam_1"
"pta0001.pta011.pta-grc1_oga020_src","Severian of Gabala, serp.hom._1","t_1|t_20|ref=serp.hom._1"
"pta0001.pta012.pta-grc1_oga020_src","Severian of Gabala, dedicat.pret._1","t_1|t_5|ref=dedicat.pret._1"
"pta0001.pta013.pta-grc1_oga020_src","Severian of Gabala, Gen.serm.2_1","t_1|t_7|ref=Gen.serm.2_1"
"pta0001.pta014.pta-grc1_oga020_src","Severian of Gabala, Pone.manum_1","t_1|0|ref=Pone.manum_1"
"pta0001.pta015.pta-grc1_oga020_src","Severian of Gabala, meretr.pharis._","t_1|t_14|ref=meretr.pharis._1"
"pta0001.pta016.pta-grc1_oga020_src","Severian of Gabala, fil.prodig._1","t_1|t_12|ref=fil.prodig._1"
"pta0001.pta017.pta-grc1_oga020_src","Severian of Gabala, scit.litteras_1","t_1|t_6|ref=scit.litteras_1"
"pta0001.pta018.pta-grc1_oga020_src","Severian of Gabala, Chanan.Pharaon._1","t_1|t_11|ref=Chanan.Pharaon._1"
"pta0001.pta019.pta-grc1_oga020_src","Severian of Gabala, volo.facio_1","t_1|t_6|ref=volo.facio_1"
"pta0001.pta020.pta-grc1_oga020_src","Severian of Gabala, incarn.dom._1","t_1|t_2|ref=incarn.dom._1"
"pta0001.pta021.pta-grc1_oga020_src","Severian of Gabala, prodit.servat._1","t_1|0|ref=prodit.servat._1"
"pta0001.pta022.pta-grc1_oga020_src","Severian of Gabala, fid._1","t_1|t_2|ref=fid._1"
"pta0001.pta023.pta-grc1_oga020_src","Severian of Gabala, c.Iud.serp._1","t_1|t_4|ref=c.Iud.serp._1"
"pta0001.pta024.pta-grc1_oga020_src","Severian of Gabala, sacrif.Cain_1","t_1|e_1|ref=sacrif.Cain_.1"
"pta0001.pta025.pta-grc1_oga020_src","Severian of Gabala, sigil.serm._1","t_1|t_4|ref=sigil.serm._1"
"pta0001.pta026.pta-grc1_oga020_src","Severian of Gabala, princ.verb._1","t_1|t_11|ref=princ.verb._1"
"pta0001.pta027.pta-grc1_oga020_src","Severian of Gabala, sanct.pentecost._1","t_1|t_3|ref=sanct.pentecost._1"
"pta0001.pta028.pta-grc1_oga020_src","Severian of Gabala, theophan._1","t_1|t_8|ref=theophan._1"
"pta0001.pta029.pta-grc1_oga020_src","Severian of Gabala, pret.vivif.cruc._1","t_1|t_3|ref=pret.vivif.cruc._1"
"pta0001.pta030.pta-grc1_oga020_src","Severian of Gabala, Pace.hom._1","t_1|t_2|ref=Pace.hom._1"
"pta0001.pta031.pta-grc1_oga020_src","Severian of Gabala, Pater.trans.__1","t_1|t_32|ref=Pater.trans._1"
"pta0001.pta032.pta-grc1_oga020_src","Severian of Gabala, lotion.ped._1","t_1|t_3|ref=lotion.ped._1"
"pta0001.pta033.pta-grc1_oga020_src","Severian of Gabala, quinque.aetat._1","t_1|0|ref=quinque.aetat._1"
"pta0001.pta034.pta-grc1_oga020_src","Severian of Gabala, centur.Manich._1","t_1|t_5|ref=centur.Manich._1"
"pta0001.pta036.pta-grc1_oga020_src","Severian of Gabala, Noe.fil.Os._1","t_1|t_5|ref=Noe.fil.Os._1"
"pta0001.pta037.pta-grc1_oga020_src","Severian of Gabala, Iud.Graec._1","t_1|t_8|ref=Iud.Graec._1"
"pta0001.pta038.pta-grc1_oga020_src","Severian of Gabala, imag.simil._1","t_1|t_5|ref=imag.simil._1"
"pta0001.pta040.pta-grc1_oga020_src","Severian of Gabala, caec.Zacch._1","t_1|t_2|ref=caec.Zacch._1"
"pta0001.pta041.pta-grc1_oga020_src","Severian of Gabala, ipsi.subiciet_1","t_1|t_14|ref=ipsi.subiciet_1"
"pta0001.pta042.pta-grc1_oga020_src","Severian of Gabala, Genim.viper._1.1","t_1|t_6|ref=Genim.viper._1.1"
"pta0001.pta043.pta-grc1_oga020_src","Severian of Gabala, Noe.arca.hom._1","t_1|t_10|ref=Noe.arca.hom._1"
"pta0001.pta044.pta-grc1_oga020_src","Severian of Gabala, Gen.serm.1_1","t_1|e_1|ref=Gen.serm.1_1"
"pta0001.pta045.pta-grc1_oga020_src","Severian of Gabala, Iob.serm.1 1","t_1|0|ref=Iob.serm.1_1"
"pta0001.pta046.pta-grc1_oga020_src","Severian of Gabala, Iob.serm.2 1","t_1|t_2|ref=Iob.serm.2_1"
"pta0001.pta047.pta-grc1_oga020_src","Severian of Gabala, Iob.serm.3 1","t_1|t_8|ref=Iob.serm.3_1"
"pta0001.pta048.pta-grc1_oga020_src","Severian of Gabala, Iob.serm.4 1","t_1|e_1|ref=Iob.serm.4_1"
"pta0001.pta049.pta-grc1_oga020_src","Severian of Gabala, trib.puer._1","t_1|t_4|ref=trib.puer._1"
"pta0001.pta050.pta-grc1_oga020_src","Severian of Gabala, caec.nat._1","t_1|e_1|ref=caec.nat._1"
"pta0001.pta051.pta-grc1_oga020_src","Severian of Gabala, enc.sanc.mart._1","t_1|t_4|ref=enc.sanc.mart._1"
"pta0001.pta052.pta-grc1_oga020_src","Severian of Gabala, postrem.iudic._1","t_1|t_9|ref=postrem.iudic._1"
"pta0001.pta053.pta-grc1_oga020_src","Severian of Gabala, accens.dom._1","t_1|t_10|ref=accens.dom._1"
"pta0001.pta054.pta-grc1_oga020_src","Severian of Gabala, cruc.latr._1","t_1|t_11|ref=cruc.latr._1"
"pta0001.pta055.pta-grc1_oga020_src","Severian of Gabala, exalt.cruc._1","t_1|t_28|ref=exalt.cruc._1"
"pta0001.pta056.pta-grc1_oga020_src","Severian of Gabala, tempt.dom._1","t_1|0|ref=tempt.dom._1"
"pta0001.pta057.pta-grc1_oga020_src","Severian of Gabala, cosmog.hom.1 1","t_1|t_3|ref=cosmog.hom.1_1"
"pta0001.pta058.pta-grc1_oga020_src","Severian of Gabala, cosmog.hom.2 1","t_1|t_5|ref=cosmog.hom.2_1"
"pta0001.pta059.pta-grc1_oga020_src","Severian of Gabala, cosmog.hom.3 1","t_1|t_5|ref=cosmog.hom.3_1"
"pta0001.pta060.pta-grc1_oga020_src","Severian of Gabala, cosmog.hom.4 1","t_1|t_19|ref=cosmog.hom.4_1"
"pta0001.pta061.pta-grc1_oga020_src","Severian of Gabala, cosmog.hom.5 1","t_1|t_3|ref=cosmog.hom.5_1"
"pta0001.pta062.pta-grc1_oga020_src","Severian of Gabala, cosmog.hom.6 1","t_1|0|ref=cosmog.hom.6_1"
"pta0003.pta007.pta-grc1_oga020_src","Eusebius of Caesarea, c.Marcel._1.1.1","t_1|t_2|ref=c.Marcel._1.1.1"
"pta0003.pta009.pta-grc1_oga020_src","Eusebius of Caesarea, eccles.theol._1.praefatio.1","t_1|t_3|ref=eccles.theol._1.praefatio.1"
