"cts_urn","abbv","title"
"ggm0001.ggm001","Anamet.","Anametresis Pontou"
"ogl0001.ogl001","Pin.Dion.","De Epistola Pinyti ad Dionysium"
"pta0001.pta001","fid.leg.nat.","De fide et lege naturae_urn:cts:pta:pta0001.pta001.pta-grc1"
"pta0001.pta002","paen.compunc.","De paenitentia et compunctione_urn:cts:pta:pta0001.pta002.pta-grc1"
"pta0001.pta003","ascen.princ.Act.","In ascensionem domini nostri Iesu Christi et in principium Actorum_urn:cts:pta:pta0001.pta003.pta-grc1"
"pta0001.pta004","spir.sanct.","De spiritu sancto_urn:cts:pta:pta0001.pta004.pta-grc1"
"pta0001.pta005","Christ.past.","De Christo pastore et ove_urn:cts:pta:pta0001.pta005.pta-grc1"
"pta0001.pta006","Ps.96","In psalmum 96_urn:cts:pta:pta0001.pta006.pta-grc1"
"pta0001.pta007","Ps.95","In psalmum 95_urn:cts:pta:pta0001.pta007.pta-grc1"
"pta0001.pta008","legislat.hom.","Homilia de legislatore_urn:cts:pta:pta0001.pta008.pta-grc1"
"pta0001.pta009","potest.haec.facis","In illud: In qua potestate haec facis_urn:cts:pta:pta0001.pta009.pta-grc1"
"pta0001.pta010","anim.Adam.","Quomodo animam acceperit Adamus_urn:cts:pta:pta0001.pta010.pta-grc1"
"pta0001.pta011","serp.hom.","De serpente homilia_urn:cts:pta:pta0001.pta011.pta-grc1"
"pta0001.pta012","dedicat.pret.","Oratio in dedicationem pretiosae et uiuificae crucis_urn:cts:pta:pta0001.pta012.pta-grc1"
"pta0001.pta013","Gen.serm.2","In Genesim sermo 2_urn:cts:pta:pta0001.pta013.pta-grc1"
"pta0001.pta014","Pone.manum","In illud: Pone manum tuam_urn:cts:pta:pta0001.pta014.pta-grc1"
"pta0001.pta015","meretr.pharis.","In meretricem et pharisaeum_urn:cts:pta:pta0001.pta015.pta-grc1"
"pta0001.pta016","fil.prodig.","In filium prodigum_urn:cts:pta:pta0001.pta016.pta-grc1"
"pta0001.pta017","scit.litteras","In illud: Quomodo scit litteras_urn:cts:pta:pta0001.pta017.pta-grc1"
"pta0001.pta018","Chanan.Pharaon.","In Chananaeam et Pharaonem_urn:cts:pta:pta0001.pta018.pta-grc1"
"pta0001.pta019","volo.facio","In dictum apostoli: Non quod volo facio_urn:cts:pta:pta0001.pta019.pta-grc1"
"pta0001.pta020","incarn.dom.","In incarnationem domini_urn:cts:pta:pta0001.pta020.pta-grc1"
"pta0001.pta021","prodit.servat.","In proditionem servatoris_urn:cts:pta:pta0001.pta021.pta-grc1"
"pta0001.pta022","fid.","De fide_urn:cts:pta:pta0001.pta022.pta-grc1"
"pta0001.pta023","c.Iud.serp.","Contra Iudaeos in serpentem aeneum_urn:cts:pta:pta0001.pta023.pta-grc1"
"pta0001.pta024","sacrif.Cain.","De sacrificiis Caini_urn:cts:pta:pta0001.pta024.pta-grc1"
"pta0001.pta025","sigil.serm.","De sigillis sermo_urn:cts:pta:pta0001.pta025.pta-grc1"
"pta0001.pta026","princ.verb.","In illud: in principium erat verbum_urn:cts:pta:pta0001.pta026.pta-grc1"
"pta0001.pta027","sanct.pentecost.","In sanctam pentecosten_urn:cts:pta:pta0001.pta027.pta-grc1"
"pta0001.pta028","theophan.","In theophaniam_urn:cts:pta:pta0001.pta028.pta-grc1"
"pta0001.pta029","pret.vivif.cruc.","In pretiosam et vivificam crucem_urn:cts:pta:pta0001.pta029.pta-grc1"
"pta0001.pta030","Pace.hom.","Homilia de pace_urn:cts:pta:pta0001.pta030.pta-grc1"
"pta0001.pta031","Pater.trans.","In illud: Pater, transeat a me calix iste_urn:cts:pta:pta0001.pta031.pta-grc1"
"pta0001.pta032","lotion.ped.","Homilia de lotione pedum_urn:cts:pta:pta0001.pta032.pta-grc1"
"pta0001.pta033","quinque.aetat.","Homilia de quinque aetatibus mundi_urn:cts:pta:pta0001.pta033.pta-grc1"
"pta0001.pta034","centur.Manich.","De centurione et contra Manichaeos et Apolinaristas_urn:cts:pta:pta0001.pta034.pta-grc1"
"pta0001.pta036","Noe.fil.Os.","In Noe et filios eius, de cherubim et in propthetam Oseam_urn:cts:pta:pta0001.pta036.pta-grc1"
"pta0001.pta037","Iud.Graec.","In Iudaeos et Graecos_urn:cts:pta:pta0001.pta037.pta-grc1"
"pta0001.pta038","imag.simil.","In illud: Secundum imaginem et similitudinem_urn:cts:pta:pta0001.pta038.pta-grc1"
"pta0001.pta040","caec.Zacch.","De caeco et Zacchaeo_urn:cts:pta:pta0001.pta040.pta-grc1"
"pta0001.pta041","ipsi.subiciet","In illud: Quando ipsi subiciet omnia_urn:cts:pta:pta0001.pta041.pta-grc1"
"pta0001.pta042","Genim.viper.","In illud: Genimina viperarum_urn:cts:pta:pta0001.pta042.pta-grc1"
"pta0001.pta043","Noe.arca.hom.","Homilia de Noe et de arca_urn:cts:pta:pta0001.pta043.pta-grc1"
"pta0001.pta044","Gen.serm.1","In Genesim sermo 1_urn:cts:pta:pta0001.pta044.pta-grc1"
"pta0001.pta045","Iob.serm.1","In Iob sermo 1"
"pta0001.pta046","Iob.serm.2","In Iob sermo 2"
"pta0001.pta047","Iob.serm.3","In Iob sermo 3"
"pta0001.pta048","Iob.serm.4","In Iob sermo 4"
"pta0001.pta049","trib.puer.","De tribus pueris sermo_urn:cts:pta:pta0001.pta049.pta-grc1"
"pta0001.pta050","caec.nat.","De caeco nato_urn:cts:pta:pta0001.pta050.pta-grc1"
"pta0001.pta051","enc.sanc.mart.","Encomium in sanctos martyres_urn:cts:pta:pta0001.pta051.pta-grc1"
"pta0001.pta052","postrem.iudic.","In postremum iudicium_urn:cts:pta:pta0001.pta052.pta-grc1"
"pta0001.pta053","accens.dom.","In accensionem domini_urn:cts:pta:pta0001.pta053.pta-grc1"
"pta0001.pta054","cruc.latr.","De cruce et latrone_urn:cts:pta:pta0001.pta054.pta-grc1"
"pta0001.pta055","exalt.cruc.","Oratio de exaltatione Crucis_urn:cts:pta:pta0001.pta055.pta-grc1"
"pta0001.pta056","tempt.dom.","In Temptationem Domini Nostri Iesu Christi_urn:cts:pta:pta0001.pta056.pta-grc1"
"pta0001.pta057","cosmog.hom.1","In cosmogoniam homilia 1"
"pta0001.pta058","cosmog.hom.2","In cosmogoniam homilia 2"
"pta0001.pta059","cosmog.hom.3","In cosmogoniam homilia 3"
"pta0001.pta060","cosmog.hom.4","In cosmogoniam homilia 4"
"pta0001.pta061","cosmog.hom.5","In cosmogoniam homilia 5"
"pta0001.pta062","cosmog.hom.6","In cosmogoniam homilia 6"
"pta0003.pta007","c.Marcel.","Contra Marcellum_urn:cts:pta:pta0003.pta007.pta-grc1"
"pta0003.pta009","eccles.theol.","De ecclesiastica theologia_urn:cts:pta:pta0003.pta009.pta-grc1"
"pta0003.pta017","Is.com.","Commentarius in Isaiam_urn:cts:pta:pta0003.pta017.pta-grc1"
"pta0004.pta003","H.E.","Historia ecclesiastica_urn:cts:pta:pta0004.pta003.pta-grc1"
"pta0005.pta001","ador.cult.spir.","De adoratione et cultu in spiritu et ueritate_urn:cts:pta:pta0005.pta001.pta-grc1"
"pta0005.pta002","glaph.Pent.","Glaphyra in Pentateuchum_urn:cts:pta:pta0005.pta002.pta-grc1"
"pta0006.pta001","Ps.com.magn.","Commentarius magnus in Psalmos_urn:cts:pta:pta0006.pta001.pta-grc1"
"pta0007.pta007","exh.mart.","Exhortatio ad martyrium_urn:cts:pta:pta0007.pta007.pta-grc1"
"pta0007.pta008","orat.","De oratione"
"pta0012.pta001","H.E.","Historia ecclesiastica_urn:cts:pta:pta0012.pta001.pta-grc1"
"pta0013.pta003","epistl.synod.","Epistula synodalis"
"pta0022.pta001","c.gent.","Contra gentes"
"pta0022.pta002","incarn.","De incarnatione_urn:cts:pta:pta0022.pta002.pta-grc1"
"pta0022.pta003","decret.Nic.syn.","De decretis Nicaenae synodi"
"pta0022.pta004","sent.Dionys.","De sententia Dionysii"
"pta0022.pta010","Const.apol.","Apologia ad Constantium"
"pta0022.pta011","Ioan.Ant.ep.","Epistula ad Ioannem et Antiochum_urn:cts:pta:pta0022.pta011.pta-grc1"
"pta0022.pta012","Pallad.ep.","Epistula ad Palladium_urn:cts:pta:pta0022.pta012.pta-grc1"
"pta0022.pta013","Drac.ep.","Epistula ad Dracontium"
"pta0022.pta014","Afros.ep.","Epistula ad Afros"
"pta0022.pta015","Antioch.tom.","Tomus ad Antiochenos"
"pta0022.pta016","Jovian.ep.","Epistula ad Jovianum"
"pta0022.pta017","Arianor.pet.","Petitiones Arianorum"
"pta0023.pta001","fr.","Fragmenta"
"pta0029.pta002","sabb.circum.","De sabbatis et circumcisione_urn:cts:pta:pta0029.pta002.pta-grc1"
"pta0030.pta016","die.dom.","De die dominica_urn:cts:pta:pta0030.pta016.pta-grc2"
"pta0036.pta001","H.E.","Historia ecclesiastica"
"pta0037.pta001","Dan.com.","Commentarii in Danielem"
"pta0038.pta001","Past.","Pastor"
"pta0039.pta001","dominic.die.hom.","Homilia de dominica die_urn:cts:pta:pta0039.pta001.pta-grc1"
"pta0040.pta001","sanct.dominic.hom.","Homilia de sancta dominica_urn:cts:pta:pta0040.pta001.pta-grc1"
"pta0041.pta001","Conon.","Vita sancti Cononis Bidanae"
"pta0100.pta001","AW1","Dok. 1: Theologische Erklärung alexandrinischer Kleriker an Alexander von Alexandrien_urn:cts:pta:pta0100.pta001.pta-grc1"
"pta0100.pta002","AW2","Dok. 2: Briefe des Alexander von Alexandrien"
"pta0100.pta003","AW3","Dok. 3: Regest eines Rundbriefes einer Synode in Bithynien"
"pta0100.pta004","AW4","Dok. 4: Brief des Eusebius von Nikomedien an Paulinus von Tyrus"
