"filename","source","MISC"
"pta0036.pta001.pta-grc1_oga020_src","Anonymus of Cyzicus, H.E._praefatio.praefatio.1-praefatio.praefatio.7","t_1|t_11|ref=H.E._praefatio.praefatio.1"
"pta0039.pta001.pta-grc1_oga020_src","Anonymus (Pseudo-John Chrysostom), dominic.die.hom._1","t_1|0|ref=dominic.die.hom._1"
"pta0040.pta001.pta-grc1_oga020_src","Anonymus (Pseudo-John Chrysostom / Pseudo-Basil of Caesarea), sanct.dominic.hom._1","t_1|0|ref=sanct.dominic.hom._1"
"pta0041.pta001.pta-grc1_oga020_src","Anonymus (Author of Vita Cononis), Conon._1.1.1.1-1.1.1.2","t_1|t_31|ref=Conon._1.1.1.1"
"pta0100.pta001.pta-grc1_oga020_src","Dokumente zur Geschichte des arianischen Streites (Athanasius Werke III), AW1_1","t_1|t_3|ref=AW1_1"
"pta0100.pta002.pta-grc1_oga020_src","Dokumente zur Geschichte des arianischen Streites (Athanasius Werke III), AW2_1.1","t_1|t_16|ref=AW2_1.1"
"pta0100.pta003.pta-grc1_oga020_src","Dokumente zur Geschichte des arianischen Streites (Athanasius Werke III), AW3_1","t_1|t_6|ref=AW3_1"
"pta0100.pta004.pta-grc1_oga020_src","Dokumente zur Geschichte des arianischen Streites (Athanasius Werke III), AW4_0","t_1|t_2|ref=AW4_0"
"pta0100.pta005.pta-grc1_oga020_src","Dokumente zur Geschichte des arianischen Streites (Athanasius Werke III), AW5_1","t_1|t_3|ref=AW5_1"
"pta0100.pta006.pta-grc1_oga020_src","Dokumente zur Geschichte des arianischen Streites (Athanasius Werke III), AW6_1","t_1|t_23|ref=AW6_1"
"pta0100.pta007.pta-grc1_oga020_src","Dokumente zur Geschichte des arianischen Streites (Athanasius Werke III), AW7_1","t_1|t_5|ref=AW7_1"
"pta0100.pta008.pta-grc1_oga020_src","Dokumente zur Geschichte des arianischen Streites (Athanasius Werke III), AW8_1","t_1|t_16|ref=AW8_1"
"pta0100.pta009.pta-grc1_oga020_src","Dokumente zur Geschichte des arianischen Streites (Athanasius Werke III), AW9_1","t_1|e_1|ref=AW9_1"
"pta0100.pta010.pta-grc1_oga020_src","Dokumente zur Geschichte des arianischen Streites (Athanasius Werke III), AW10_1","t_1|0|ref=AW10_1"
"pta9999.pta003.pta-grc1_oga020_src","Bible, Lev._1.1-urn:cts:pta:pta9999.pta003.pta-grc1.1.2","t_1|t_4|ref=Lev._1.1"
"pta9999.pta004.pta-grc1_oga020_src","Bible, Num._1.1-urn:cts:pta:pta9999.pta004.pta-grc1.1.3","t_1|t_2|ref=Num._1.1"
"pta9999.pta006.pta-grc1_oga020_src","Bible, Jos._1.1-urn:cts:pta:pta9999.pta006.pta-grc1.1.2","t_1|0|ref=Jos._1.1"
"pta9999.pta013.pta-grc1_oga020_src","Bible, 1Chrn._1.1-urn:cts:pta:pta9999.pta013.pta-grc1.1.3","t_1|t_7|ref=1Chrn._1.1"
"pta9999.pta016.pta-grc1_oga020_src","Bible, Ezr_1.1-urn:cts:pta:pta9999.pta016.pta-grc1.1.2","t_1|t_11|ref=Ezr_1.1"
"pta9999.pta017.pta-grc1_oga020_src","Bible, Neh._1.1-urn:cts:pta:pta9999.pta017.pta-grc1.1.2","t_1|t_55|ref=Neh._1.1"
"pta9999.pta020.pta-grc1_oga020_src","Bible, Esth._1.1a-urn:cts:pta:pta9999.pta020.pta-grc1.1.1b","t_1|t_3|ref=Esth._1.1a"
